批量更改
模块名,软元件,当前值,显示格式,注释
全局,R1109,―,1 位二进制数,
全局,R1110,―,1 位二进制数,
全局,R1111,―,1 位二进制数,
全局,R1112,―,1 位二进制数,
全局,R1113,―,1 位二进制数,
全局,R1114,―,1 位二进制数,
全局,R1115,―,1 位二进制数,
全局,R1200,―,1 位二进制数,
全局,R1201,―,1 位二进制数,
全局,R1202,―,1 位二进制数,
全局,R1203,―,1 位二进制数,
全局,R1204,―,1 位二进制数,
全局,R1205,―,1 位二进制数,
全局,R1206,―,1 位二进制数,
全局,R1207,―,1 位二进制数,
全局,R1208,―,1 位二进制数,
全局,R1209,―,1 位二进制数,
全局,R1210,―,1 位二进制数,
全局,R1211,―,1 位二进制数,
全局,R1212,―,1 位二进制数,
全局,R1213,―,1 位二进制数,
全局,R1214,―,1 位二进制数,
全局,R1215,―,1 位二进制数,
全局,R1300,●,1 位二进制数,
全局,R1301,―,1 位二进制数,
全局,R1302,―,1 位二进制数,
全局,R1303,―,1 位二进制数,
全局,R1304,―,1 位二进制数,
全局,R1305,―,1 位二进制数,
全局,R1306,―,1 位二进制数,
全局,R1307,―,1 位二进制数,
全局,R1308,―,1 位二进制数,
全局,R1309,―,1 位二进制数,
全局,R1310,―,1 位二进制数,
全局,R1311,―,1 位二进制数,
全局,R1312,―,1 位二进制数,
全局,R1313,―,1 位二进制数,
全局,R1314,―,1 位二进制数,
全局,R1315,―,1 位二进制数,
全局,R1400,―,1 位二进制数,
全局,R1401,―,1 位二进制数,
全局,R1402,―,1 位二进制数,
全局,R1403,―,1 位二进制数,
全局,R1404,―,1 位二进制数,
全局,R1405,―,1 位二进制数,
全局,R1406,―,1 位二进制数,
全局,R1407,―,1 位二进制数,
全局,R1408,―,1 位二进制数,
全局,R1409,―,1 位二进制数,
全局,R1410,―,1 位二进制数,
全局,R1411,―,1 位二进制数,
全局,R1412,―,1 位二进制数,
全局,R1413,―,1 位二进制数,
全局,R1414,―,1 位二进制数,
全局,R1415,―,1 位二进制数,
全局,R1500,―,1 位二进制数,
全局,R1501,―,1 位二进制数,
全局,R1502,―,1 位二进制数,
全局,R1503,―,1 位二进制数,
全局,R1504,―,1 位二进制数,
全局,R1505,―,1 位二进制数,
全局,R1506,―,1 位二进制数,
全局,R1507,―,1 位二进制数,
全局,R1508,―,1 位二进制数,
全局,R1509,―,1 位二进制数,
全局,R1510,―,1 位二进制数,
全局,R1511,―,1 位二进制数,
全局,R1512,―,1 位二进制数,
全局,R1513,―,1 位二进制数,
全局,R1514,―,1 位二进制数,
全局,R1515,―,1 位二进制数,
全局,R1600,―,1 位二进制数,
全局,R1601,―,1 位二进制数,
全局,R1602,―,1 位二进制数,
全局,R1603,―,1 位二进制数,
全局,R1604,―,1 位二进制数,
全局,R1605,―,1 位二进制数,
全局,R1606,―,1 位二进制数,
全局,R1607,―,1 位二进制数,
全局,R1608,―,1 位二进制数,
全局,R1609,―,1 位二进制数,
全局,R1610,―,1 位二进制数,
全局,R1611,―,1 位二进制数,
全局,R1612,―,1 位二进制数,
全局,R1613,―,1 位二进制数,
全局,R1614,―,1 位二进制数,
全局,R1615,―,1 位二进制数,
全局,R1700,―,1 位二进制数,
全局,R1701,―,1 位二进制数,
全局,R1702,―,1 位二进制数,
全局,R1703,―,1 位二进制数,
全局,R1704,―,1 位二进制数,
全局,R1705,―,1 位二进制数,
全局,R1706,―,1 位二进制数,
全局,R1707,―,1 位二进制数,
全局,R1708,―,1 位二进制数,
全局,R1709,―,1 位二进制数,
全局,R1710,―,1 位二进制数,
全局,R1711,―,1 位二进制数,
全局,R1712,―,1 位二进制数,
全局,R1713,―,1 位二进制数,
全局,R1714,―,1 位二进制数,
全局,R1715,―,1 位二进制数,
全局,R1800,―,1 位二进制数,
全局,R1801,―,1 位二进制数,
全局,R1802,―,1 位二进制数,
全局,R1803,―,1 位二进制数,
全局,R1804,―,1 位二进制数,
全局,R1805,―,1 位二进制数,
全局,R1806,―,1 位二进制数,
全局,R1807,―,1 位二进制数,
全局,R1808,―,1 位二进制数,
全局,R1809,―,1 位二进制数,
全局,R1810,―,1 位二进制数,
全局,R1811,―,1 位二进制数,
全局,R1812,―,1 位二进制数,
全局,R1813,―,1 位二进制数,
全局,R1814,―,1 位二进制数,
全局,R1815,―,1 位二进制数,
全局,R1900,―,1 位二进制数,
全局,R1901,―,1 位二进制数,
全局,R1902,―,1 位二进制数,
全局,R1903,―,1 位二进制数,
全局,R1904,―,1 位二进制数,
全局,R1905,―,1 位二进制数,
全局,R1906,―,1 位二进制数,
全局,R1907,―,1 位二进制数,
全局,R1908,―,1 位二进制数,
全局,R1909,―,1 位二进制数,
全局,R1910,―,1 位二进制数,
全局,R1911,―,1 位二进制数,
全局,R1912,―,1 位二进制数,
全局,R1913,―,1 位二进制数,
全局,R1914,―,1 位二进制数,
全局,R1915,―,1 位二进制数,
全局,R2000,―,1 位二进制数,
全局,R2001,―,1 位二进制数,
全局,R2002,―,1 位二进制数,
全局,R2003,―,1 位二进制数,
全局,R2004,―,1 位二进制数,
全局,R2005,―,1 位二进制数,
全局,R2006,―,1 位二进制数,
全局,R2007,―,1 位二进制数,
全局,R2008,―,1 位二进制数,
全局,R2009,―,1 位二进制数,
全局,R2010,―,1 位二进制数,
全局,R2011,―,1 位二进制数,
全局,R2012,―,1 位二进制数,
全局,R2013,―,1 位二进制数,
全局,R2014,―,1 位二进制数,
全局,R2015,―,1 位二进制数,
全局,R2100,―,1 位二进制数,
全局,R2101,―,1 位二进制数,
全局,R2102,―,1 位二进制数,
全局,R2103,―,1 位二进制数,
全局,R2104,―,1 位二进制数,
全局,R2105,―,1 位二进制数,
全局,R2106,―,1 位二进制数,
全局,R2107,―,1 位二进制数,
全局,R2108,―,1 位二进制数,
全局,R2109,―,1 位二进制数,
全局,R2110,―,1 位二进制数,
全局,R2111,―,1 位二进制数,
全局,R2112,―,1 位二进制数,
全局,R2113,―,1 位二进制数,
全局,R2114,―,1 位二进制数,
全局,R2115,―,1 位二进制数,
全局,R2200,―,1 位二进制数,
全局,R2201,―,1 位二进制数,
全局,R2202,―,1 位二进制数,
全局,R2203,―,1 位二进制数,
全局,R2204,―,1 位二进制数,
全局,R2205,―,1 位二进制数,
全局,R2206,―,1 位二进制数,
全局,R2207,―,1 位二进制数,
全局,R2208,―,1 位二进制数,
全局,R2209,―,1 位二进制数,
全局,R2210,―,1 位二进制数,
