2018/7/26 15:41:45	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0830000000000000\r\n
2018/7/26 15:41:46	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02847\r\n
2018/7/26 15:41:46	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/26 15:41:46	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/26 15:41:46	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,09F8,0A13,0000,0000,0000,0000,09E2\r\n
2018/7/26 15:41:48	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0830000000000000\r\n
2018/7/26 15:41:48	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02847\r\n
2018/7/26 15:41:49	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/26 15:41:49	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/26 15:41:49	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,09F8,0A13,0000,0000,0000,0000,09E6\r\n
2018/7/26 15:41:49	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/26 15:41:50	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/26 15:41:50	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A13,0A5A,0000\r\n
2018/7/26 15:41:50	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=09E0,1394,06F2\r\n
2018/7/26 15:41:50	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/26 15:41:50	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03E8,IMAX_QCW=03E8,PMAX_CW=03F7,PMAX_QCW=03F7\r\n
2018/7/26 15:41:51	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03E8,IMAX_QCW=03E8,PMAX_CW=03F7,PMAX_QCW=03F7\r\n
2018/7/26 15:41:51	CMD: 	PILOT_EN=0\r\n	FEEDBACK: 	PILOT DISABLED\r\n
2018/7/26 15:41:51	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0830000000000000\r\n
2018/7/26 15:41:51	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02847\r\n
2018/7/26 15:41:52	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/26 15:41:52	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/26 15:41:52	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,09F6,0A13,0000,0000,0000,0000,09DF\r\n
2018/7/26 15:41:52	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/26 15:41:52	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/26 15:41:53	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A13,0A5A,0000\r\n
2018/7/26 15:41:53	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=09E4,139E,06F5\r\n
2018/7/26 15:41:53	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/26 15:41:53	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03E8,IMAX_QCW=03E8,PMAX_CW=03F7,PMAX_QCW=03F7\r\n
2018/7/26 15:41:54	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03E8,IMAX_QCW=03E8,PMAX_CW=03F7,PMAX_QCW=03F7\r\n
2018/7/26 15:41:54	CMD: 	PILOT_EN=0\r\n	FEEDBACK: 	PILOT DISABLED\r\n
2018/7/26 15:41:54	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0830000000000000\r\n
2018/7/26 15:41:54	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02847\r\n
2018/7/26 15:41:54	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/26 15:41:55	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/26 15:41:55	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,09F8,0A13,0000,0000,0000,0000,09DF\r\n
2018/7/26 15:41:55	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/26 15:41:55	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/26 15:41:56	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A13,0A5A,0000\r\n
2018/7/26 15:41:56	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=09DF,13A4,06F7\r\n
2018/7/26 15:41:56	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/26 15:41:56	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03E8,IMAX_QCW=03E8,PMAX_CW=03F7,PMAX_QCW=03F7\r\n
2018/7/26 15:41:57	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03E8,IMAX_QCW=03E8,PMAX_CW=03F7,PMAX_QCW=03F7\r\n
2018/7/26 15:41:57	CMD: 	PILOT_EN=0\r\n	FEEDBACK: 	PILOT DISABLED\r\n
2018/7/26 15:41:57	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0830000000000000\r\n
2018/7/26 15:41:57	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02847\r\n
2018/7/26 15:41:57	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/26 15:41:58	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/26 15:41:58	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,09F8,0A13,0000,0000,0000,0000,09E2\r\n
2018/7/26 15:41:58	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/26 15:41:58	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
