2018/7/25 17:21:38	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0000000000000000\r\n
2018/7/25 17:21:38	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/25 17:21:39	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/25 17:21:39	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/25 17:21:39	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,09E7,09EF,0000,0000,0000,0000,09E0\r\n
2018/7/25 17:21:41	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0000000000000000\r\n
2018/7/25 17:21:41	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/25 17:21:41	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/25 17:21:42	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/25 17:21:42	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,09E7,09EF,0000,0000,0000,0000,09DF\r\n
2018/7/25 17:21:42	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/25 17:21:42	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/25 17:21:42	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=09E7,09DE,0000\r\n
2018/7/25 17:21:43	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=09DE,1952,0725\r\n
2018/7/25 17:21:43	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/25 17:21:43	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/25 17:21:43	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/25 17:21:44	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=0000000000000000\r\n
2018/7/25 17:21:44	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/25 17:21:44	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
