2018/6/28 15:18:42	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/6/28 15:18:42	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/6/28 15:18:43	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/6/28 15:18:43	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/6/28 15:18:43	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A1C,0A62,0000,0000,0000,0000,0A0A\r\n
2018/6/28 15:18:45	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/6/28 15:18:45	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/6/28 15:18:45	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/6/28 15:18:45	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/6/28 15:18:46	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A1C,0A62,0000,0000,0000,0000,0A0A\r\n
2018/6/28 15:18:46	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/6/28 15:18:46	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/6/28 15:18:46	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A20,0A8C,0000\r\n
2018/6/28 15:18:47	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=0A0A,1360,071F\r\n
2018/6/28 15:18:47	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/6/28 15:18:47	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/6/28 15:18:47	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/6/28 15:18:47	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/6/28 15:18:48	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/6/28 15:18:48	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/6/28 15:18:48	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/6/28 15:18:48	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A1C,0A62,0000,0000,0000,0000,0A0A\r\n
